0.000000000000000000e+00 -5.459256637711604881e-02 4.379386708552319291e-02 -4.876056728536196788e-02 -3.803087534696689836e-03 -4.606201546217381960e-03 3.809826940484280829e-04 2.163224437781870266e-03 2.007899111529680945e-03 -8.954518899126532412e-04
1.000000000000000056e-01 -1.563046901333204342e-01 -4.472161928315879914e-02 -2.011966683854312515e-02 1.186936335456701894e-03 3.553793632907592190e-03 -3.218469019333175529e-03 -1.209526690645167102e-02 -8.225339244417291876e-03 -1.099359984341703213e-02
2.000000000000000111e-01 6.631658365682656375e-02 -4.437153756938526719e-03 -4.330973434001068878e-02 -9.583280139168297990e-03 -3.089622272742448272e-02 -8.281808935786168918e-04 -1.242055304775171488e-02 -1.397188752734749954e-02 -1.522184310986140696e-02
3.000000000000000444e-01 -1.957844901867578646e-01 -7.322644317134313630e-02 -6.312406385761226701e-02 -5.084552751137075277e-04 -2.745360796271561349e-02 -1.654923199146330834e-02 -2.523018126722751178e-02 -1.803252623960728898e-02 -1.991723007517864213e-02
4.000000000000000222e-01 -9.944287499413982656e-02 -1.237769141627163422e-01 1.591500670556494565e-02 -9.734903384905159440e-03 -1.069973768234293125e-02 -1.980501415039454677e-02 -2.071618926831551161e-02 -2.225226983719036725e-02 -2.064385974901286266e-02
5.000000000000000000e-01 4.924396576319850505e-02 -3.020936261481315527e-02 -4.908913308881625998e-03 -3.188236216205841966e-02 -2.383933191841043284e-02 -2.060053428447819121e-02 -2.110710527594315475e-02 -2.285858820888754875e-02 -2.150081237633209158e-02
6.000000000000000888e-01 2.219571428549182296e-02 -3.027395004403826695e-02 -4.126690470284708617e-02 -1.341066097169291843e-03 2.167307442272888712e-03 -1.187587447835083271e-02 -2.142515599065281801e-02 -1.655858262228066327e-02 -1.746602592460940601e-02
7.000000000000000666e-01 -3.321935224013357335e-02 7.139312232308878126e-02 2.977693793098213845e-03 -2.721661552654348545e-02 -2.207491764790614833e-02 -9.985755189615553098e-03 -9.777940138767310732e-03 -1.156707135636125990e-02 -1.097019761315985893e-02
8.000000000000000444e-01 -1.306452756088984368e-01 4.263674429834077989e-02 1.560076538660623222e-02 2.148235588219267640e-03 -8.163436550053549193e-03 -4.912353334277366583e-03 -7.402540208065156238e-03 -5.931116844043796826e-03 -5.886119812423795325e-03
9.000000000000000222e-01 -1.420932909333282382e-02 1.512741225907289488e-02 -5.046498412762497748e-03 1.585709914471124943e-02 2.725512291306864728e-03 7.711864033039583788e-03 4.485141330385377691e-03 6.538954657337723783e-03 6.171834828493240332e-03
